SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION,,
The Gulfstream Sale (2021),3/31/21,57,B,C,CANDY RIDE (ARG),VIVA MALALA,MALIBU MOON,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT III,NOT SOLD,30000,,3/26/19,KENTUCKY,23,,,https://vimeo.com/526930100,10.3,https://www.youtube.com/watch?v=oJ3pYpsmpys
The Gulfstream Sale (2021),3/31/21,58,B,C,GORMLEY,VOODOO LOUNGE,PLEASANT TAP,PAUL SHARP AGENT,OUT,0,,5/9/19,KENTUCKY,24,,,https://vimeo.com/521199918,,
The Gulfstream Sale (2021),3/31/21,59,DKB,C,CAIRO PRINCE,WARRIOR GIRL,WAR CHANT,TOP LINE SALES LLC AGENT VIII,NOT SOLD,290000,,4/19/19,KENTUCKY,23,,,https://vimeo.com/528107049,10.2,https://www.youtube.com/watch?v=Kjy-o-MPqfs
The Gulfstream Sale (2021),3/31/21,60,GRR,C,CONNECT,WILD HOOTS,UNBRIDLED'S SONG,DE MERIC SALES AGENT,MATAICHIRO YAMAMOTO,410000,,3/8/19,KENTUCKY,25,,,https://vimeo.com/528625561,10.1,https://www.youtube.com/watch?v=Wbh5JsDUTjk
The Gulfstream Sale (2021),3/31/21,61,B,C,INTO MISCHIEF,WINTER BOOK,ANY GIVEN SATURDAY,RANDY BRADSHAW AGENT V,NOT SOLD,190000,,2/11/19,NEW YORK,23,,,https://vimeo.com/526741221/7668672597,10.3,https://www.youtube.com/watch?v=VhPxesPRuWY
The Gulfstream Sale (2021),3/31/21,63,DKB,C,GHOSTZAPPER,ABATIS,APTITUDE,DE MERIC SALES AGENT,NOT SOLD,35000,,3/8/19,KENTUCKY,25,,,,11.1,https://www.youtube.com/watch?v=3h4DwmmNmZ4
The Gulfstream Sale (2021),3/31/21,65,DKB,C,PRACTICAL JOKE,ADANDE,BWANA CHARLIE,PICK VIEW LLC AGENT,NOT SOLD,350000,,5/14/19,KENTUCKY,23,,,https://vimeo.com/528106651,10.1,https://www.youtube.com/watch?v=nri76iIPTTE
The Gulfstream Sale (2021),3/31/21,66,CH,C,DAREDEVIL,ADORABELL,DISTORTED HUMOR,CARY FROMMER AGENT,OUT,0,,3/22/19,KENTUCKY,24,,,,,
The Gulfstream Sale (2021),3/31/21,67,DKB,C,UNCLE MO,AFLEET MAGGI,AFLEET ALEX,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT,WEST BLOODSTOCK/ JAMIE MCCALMONTAGT MV MAGNIER,1300000,,2/2/19,KENTUCKY,23,,,https://vimeo.com/526930810,10,https://www.youtube.com/watch?v=TLRu9WdjRkE
The Gulfstream Sale (2021),3/31/21,68,DKB,C,NYQUIST,ALL STAR HEART,ARCH,GENE RECIO AGENT,MATAICHIRO YAMAMOTO,160000,,4/17/19,KENTUCKY,24,,,https://vimeo.com/528914296,10.4,https://www.youtube.com/watch?v=v6Bdr7ET_iA
The Gulfstream Sale (2021),3/31/21,69,DKB,C,GHOSTZAPPER,ALPINE SKY,INDIAN CHARLIE,JAMES LAYDEN AGENT,NOT SOLD,145000,,4/13/19,NEW YORK,23,,,https://vimeo.com/529325776,10.3,https://www.youtube.com/watch?v=uBkchUVSN90
The Gulfstream Sale (2021),3/31/21,70,DKB,C,GUN RUNNER,ANA LUISA (BRZ),ELUSIVE QUALITY,NIALL BRENNAN STABLES AGENT II,OUT,0,,4/28/19,KENTUCKY,23,,,https://youtu.be/aGcrN4fZx7w,,
The Gulfstream Sale (2021),3/31/21,71,DKB,F,NOT THIS TIME,APALACHEE SONG,SONGANDAPRAYER,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,OUT,0,,3/8/19,KENTUCKY,23,,,https://vimeo.com/529289761,,
The Gulfstream Sale (2021),3/31/21,72,CH,F,CLASSIC EMPIRE,AUCTION (IRE),MR. GREELEY,SCANLON TRAINING & SALES AGENT FOR EXCEL BLOODSTOCK (BRUNO DEBERDT),OUT,0,,4/10/19,KENTUCKY,23,,,https://vimeo.com/524057903,11,https://www.youtube.com/watch?v=oPrLLjEN6nE
