SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2018),2018-05-21,40,CH,C,HONORABLE DILLON,WINTER ROMANCE,BENCHMARK,KENNETH LEJEUNE TRAINING STABLES,GARY CONTESSA AGENT FOR WOUNDED WARRIOR STABLES,30000,,2016-02-08,NEW YORK,L,,,,11,https://www.youtube.com/watch?v=BbuTjMAS34U
Midlantic Two-Year-Olds in Training (2018),2018-05-21,41,DKB,F,CAIRO PRINCE,WITCH WOMAN,AWESOME AGAIN,SCANLON TRAINING & SALES AGENT VI,NOT SOLD,62000,,2016-05-15,PENNSYLVANIA,T,,,,10.4,https://www.youtube.com/watch?v=VxRLjkFODyw
Midlantic Two-Year-Olds in Training (2018),2018-05-21,42,B,F,NEW YEAR'S DAY,WITH HONORANDGRACE,SONGANDAPRAYER,EDDIE WOODS AGENT LXXII,PEREZ STABLES LLC,15000,,2016-01-09,KENTUCKY,J-K,,,,11,https://www.youtube.com/watch?v=QeMvdEobt_E
Midlantic Two-Year-Olds in Training (2018),2018-05-21,43,B,C,MAJESTICPERFECTION,WITHOUT QUESTION,CANADIAN FRONTIER,CRANE THOROUGHBRED SERVICES LLC AGENT,PEREZ STABLES LLC,14000,,2016-01-29,FLORIDA,D-E,,,,G,https://www.youtube.com/watch?v=EUdYY3FhRvI
Midlantic Two-Year-Olds in Training (2018),2018-05-21,44,CH,C,NEW YEAR'S DAY,WONDERFULLY,PURE PRIZE,COASTAL EQUINE LLC AGENT IV,THOMAS NASH,10000,,2016-03-31,KENTUCKY,F,,,,10.4,https://www.youtube.com/watch?v=9CJbmdlwu14
Midlantic Two-Year-Olds in Training (2018),2018-05-21,45,B,F,STREET SENSE,WOODLAND PARK,BERNARDINI,PIKE RACING AGENT,KEVIN KUTA,160000,Y,2016-05-02,KENTUCKY,B,,,,10.3,https://www.youtube.com/watch?v=zJb0IZbw62E
Midlantic Two-Year-Olds in Training (2018),2018-05-21,46,DKB,C,OVERANALYZE,WORKING AT NIGHT,TIZNOW,MARSHALL W. SILVERMAN AGENT FOR IOANNIS KOROLOGOS,SCOTT LAKE AGENT FOR ROMAR LLC,32000,,2016-02-21,PENNSYLVANIA,G,,,,11.1,https://www.youtube.com/watch?v=8fykogiF-0c
Midlantic Two-Year-Olds in Training (2018),2018-05-21,47,CH,C,MALIBU MOON,WOW ME FREE,MENIFEE,TOM MCCROCKLIN AGENT,MARC A. WAMPLER AGENT FOR POCKET ACES RACING,150000,,2016-03-16,KENTUCKY,T,,,,22.2,https://www.youtube.com/watch?v=fIvdqLFxpi8
Midlantic Two-Year-Olds in Training (2018),2018-05-21,48,GRR,F,CAIRO PRINCE,YANG N YING,FORESTRY,CLASSIC BLOODSTOCK AGENT III,NOT SOLD,19000,,2016-04-26,KENTUCKY,A-B,,,,11,https://www.youtube.com/watch?v=C1kCME17N-c
Midlantic Two-Year-Olds in Training (2018),2018-05-21,49,B,C,YES IT'S TRUE,YANQUEE REIGN,YANKEE VICTOR,BRICK CITY THOROUGHBREDS AGENT,OUT,0,,2016-05-07,KENTUCKY,F-G,,,,22.3,https://www.youtube.com/watch?v=5EBWxfwMO30
Midlantic Two-Year-Olds in Training (2018),2018-05-21,50,B,C,HARD SPUN,YAWKEY WAY,GRAND SLAM,DE MERIC SALES AGENT,BOB DONALDSON,64000,,2016-03-19,KENTUCKY,I-J,,,,10.1,https://www.youtube.com/watch?v=Cs61OgZc5Ic
Midlantic Two-Year-Olds in Training (2018),2018-05-21,51,B,C,MUCHO MACHO MAN,YEARDLEY,DON'T GET MAD,JULIE DAVIES LLC AGENT,NOT SOLD,32000,,2016-03-22,PENNSYLVANIA,G,,,,37,https://www.youtube.com/watch?v=MecQdgaVxKY
Midlantic Two-Year-Olds in Training (2018),2018-05-21,52,B,C,INTO MISCHIEF,YEHENARA,GREATNESS,KIM HARRISON (TOP SPEED FARM) AGENT,OUT,0,,2016-04-16,KENTUCKY,L,,,,,
Midlantic Two-Year-Olds in Training (2018),2018-05-21,53,B,C,BERNARDINI,YES IT'S JACKIE,YES IT'S TRUE,SEQUEL BLOODSTOCK AGENT,OUT,0,,2016-02-20,KENTUCKY,C,,,,10.4,https://www.youtube.com/watch?v=m9JzYOg_IRc
Midlantic Two-Year-Olds in Training (2018),2018-05-21,54,B,C,QUALITY ROAD,YOLIE'S CHOICE,SILVER DEPUTY,JAMES LAYDEN AGENT,TRIN-BROOK STABLE,20000,,2016-04-05,KENTUCKY,D,,,,10.4,https://www.youtube.com/watch?v=bOP0Cl4zV_Q
Midlantic Two-Year-Olds in Training (2018),2018-05-21,55,CH,F,STAY THIRSTY,ZAPPEUSE,KINGMAMBO,PAUL SHARP AGENT XII,NOT SOLD,17000,,2016-03-04,KENTUCKY,F-G,,,,11.1,https://www.youtube.com/watch?v=u0jEpxLGXoc
Midlantic Two-Year-Olds in Training (2018),2018-05-21,56,DKB,C,WILL TAKE CHARGE,ZEHOORR,STORM CAT,NIALL BRENNAN STABLES AGENT,CORMS RACINGFLYING P RA HILL,90000,,2016-02-07,FLORIDA,J,,,,10.3,https://www.youtube.com/watch?v=zPubZ54N8cc
Midlantic Two-Year-Olds in Training (2018),2018-05-21,57,CH,F,TALE OF THE CAT,ABIGAIL'S GOLD,MINESHAFT,RANDY BRADSHAW AGENT,OUT,0,,2016-03-20,KENTUCKY,I,,,,10.4,https://www.youtube.com/watch?v=X_6zV15M7Cc
Midlantic Two-Year-Olds in Training (2018),2018-05-21,58,B,C,TAKE CHARGE INDY,A CUT AHEAD,TIZ WONDERFUL,ALL DREAMS EQUINE AGENT,LONE STAR RACING CLUB,15000,,2016-03-22,NEW YORK,G-H,,,,10.4,https://www.youtube.com/watch?v=Oquy9OOWASs
Midlantic Two-Year-Olds in Training (2018),2018-05-21,59,B,F,HARD SPUN,AFLEET LOVER,NORTHERN AFLEET,SBM TRAINING & SALES AGENT,TRIN-BROOK STABLE,35000,,2016-04-20,KENTUCKY,K,,,,10.4,https://www.youtube.com/watch?v=p_J95nr2RfA
Midlantic Two-Year-Olds in Training (2018),2018-05-21,60,DKB,F,REVOLUTIONARY,AH HONEY HONEY,CANDY RIDE (ARG),PICK VIEW LLC AGENT,OUT,0,,2016-03-03,KENTUCKY,H,,,,,
Midlantic Two-Year-Olds in Training (2018),2018-05-21,61,B,C,JIMMY CREED,AIRIZON,BOSTON HARBOR,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,D. M. COOPER,57000,,2016-04-23,KENTUCKY,T,,,,10.3,https://www.youtube.com/watch?v=nIbispHEwBI
Midlantic Two-Year-Olds in Training (2018),2018-05-21,62,B,F,INTO MISCHIEF,ALERT CAT,EMPIRE MAKER,BRICK CITY THOROUGHBREDS AGENT,CLARK O BREWSTER,100000,,2016-01-25,KENTUCKY,F-G,,,,21.3,https://www.youtube.com/watch?v=V8fg5ZwDUwY
Midlantic Two-Year-Olds in Training (2018),2018-05-21,63,B,F,BIG BROWN,ALFONSINA,GRAND SLAM,COASTAL EQUINE LLC AGENT III,OUT,0,,2016-02-21,NEW YORK,F,,,,11.1,https://www.youtube.com/watch?v=Yd8wzTIC1Uc
Midlantic Two-Year-Olds in Training (2018),2018-05-21,64,CH,F,MUNNINGS,ALFREDA,STRONG CONTENDER,HIDDEN BROOK AGENT VII,JOHN SALZMAN JR,10000,,2016-04-03,KENTUCKY,K,,,,11,https://www.youtube.com/watch?v=nvtWlHBmLiw
Midlantic Two-Year-Olds in Training (2018),2018-05-21,65,CH,C,WILL TAKE CHARGE,ALIENATED,GONE WEST,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT IV,BROOKE HUBBARD AGENT FOR SAYJAY,80000,,2016-04-15,KENTUCKY,T,,,,11.1,https://www.youtube.com/watch?v=qtxqjVl826A
Midlantic Two-Year-Olds in Training (2018),2018-05-21,66,B,C,GHOSTZAPPER,ALL DUE RESPECT,VALUE PLUS,DE MERIC SALES AGENT,SUPER C RACING INC,25000,,2016-02-23,KENTUCKY,I-J,,,,10.4,https://www.youtube.com/watch?v=hThD7bWv97I
Midlantic Two-Year-Olds in Training (2018),2018-05-21,67,DKB,F,BODEMEISTER,ALLEMANDE,MEDAGLIA D'ORO,NIALL BRENNAN STABLES AGENT,CRANNOCK RACING LLC,30000,,2016-02-19,KENTUCKY,J,,,,10.4,https://www.youtube.com/watch?v=zSQVFQUjeHE
Midlantic Two-Year-Olds in Training (2018),2018-05-21,68,CH,C,CURLIN,ALMONSOON,GIANT'S CAUSEWAY,PAUL SHARP AGENT XVII,OUT,0,,2016-02-13,KENTUCKY,F-G,,,,,
Midlantic Two-Year-Olds in Training (2018),2018-05-21,69,B,C,GHOSTZAPPER,ALPHA MOOD,ALPHABET SOUP,BIG EASY AGENT,RANDI PERSAUD,20500,,2016-02-20,KENTUCKY,D,,,,11.3,https://www.youtube.com/watch?v=AZLhBh2bUrs
Midlantic Two-Year-Olds in Training (2018),2018-05-21,70,CH,C,MORE THAN READY,ALWAYS AUDITIONING,MIZZEN MAST,CARY FROMMER AGENT,HIT THE BOARD STABLES,70000,Y,2016-06-01,KENTUCKY,A-B,,,,11,https://www.youtube.com/watch?v=0Nh1E2v_jMY
Midlantic Two-Year-Olds in Training (2018),2018-05-21,71,CH,C,FROST GIANT,AMARGA,CAME HOME,HIDDEN BROOK AGENT IX,SROA (KOID),25000,,2016-02-27,NEW YORK,K,,,,11,https://www.youtube.com/watch?v=uKGmtcBEubc
Midlantic Two-Year-Olds in Training (2018),2018-05-21,72,CH,F,ESKENDEREYA,AMERICAN PROFILE,SUMMER SQUALL,PARRISH FARMS AGENT,PEREZ STABLES LLC,13000,,2016-04-22,KENTUCKY,L,,,,10.4,https://www.youtube.com/watch?v=184tMjDUqF4
