SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,28,B,C,TAKE CHARGE INDY,CHEESECAKE,DYNAFORMER,KINGS EQUINE AGENT,BRADLEY A LUSTER,110000,,02/01/2017,KENTUCKY,C,,,,10.3,https://www.youtube.com/watch?v=jUfeXIBJuec
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,29,B,F,MIDNIGHT LUTE,CHOIR,PULPIT,STEPHENS THOROUGHBREDS LLC AGENT III,OUT,0,,03/30/2017,KENTUCKY,B,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,30,DKB,F,PIONEEROF THE NILE,CINDY'S MOM,A.P. INDY,KINGS EQUINE AGENT FOR AARON & MARIE JONES LLC,OUT,0,,03/28/2017,KENTUCKY,C,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,31,B,F,ROUSING SERMON,COASTAL CATHY,SOUGHT AFTER,MCCARTHY BLOODSTOCK AGENT,NOT SOLD,1000,,04/04/2017,CALIFORNIA,C&D,,,,12,https://www.youtube.com/watch?v=1r_f02uHXYg
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,32,DKB,C,VRONSKY,COPPEROPOLIS,SPEIGHTSTOWN,MCCARTHY BLOODSTOCK AGENT,BLINKERS ON RACING STABLE,110000,,03/24/2017,CALIFORNIA,C&D,,,,10.3,https://www.youtube.com/watch?v=wdV-RGwhxY0
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,33,CH,F,MANY RIVERS,CORAZON DE LEO,FLAME THROWER,HAVENS BLOODSTOCK AGENCY INC. AGENT,ROBERT B HESS JR,42000,,05/09/2017,CALIFORNIA,B&C,,,,11,https://www.youtube.com/watch?v=A53bshwJSFQ
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,34,B,C,SQUARE EDDIE,CRYPTIC,INDIAN CHARLIE,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,OUT,0,,04/11/2017,CALIFORNIA,C&D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,35,CH,F,INFORMED,DARK FLAME,SEA OF SECRETS,LOVACRES RANCH AGENT,STUART TSUJIMOTO,10000,,01/19/2017,CALIFORNIA,A,,,,G,https://www.youtube.com/watch?v=3NQfjWwbm8g
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,36,CH,C,JERSEY TOWN,DAWN LANE,ECTON PARK,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT III,OUT,0,,04/09/2017,KENTUCKY,A&B,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,37,GRR,C,FLATTER,DEB'S CHARM,SILVER CHARM,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT FOR BLUE CHIP THOROUGHBREDS,OUT,0,,05/24/2017,KENTUCKY,C&D,,,,,
