SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,46,DKB,F,PRACTICAL JOKE,LADY BANKS,SUCCESSFUL APPEAL,TOM MCCROCKLIN AGENT,DENNIS O'NEILL,79000,,03/15/2021,KENTUCKY,I,,,,10.1,https://www.youtube.com/watch?v=Ft3o5gxJxMc
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,47,CH,F,KANTHAROS,LA TITINA,DISTORTED HUMOR,CRANE THOROUGHBRED SERVICES LLC AGENT,STEVEN W YOUNG AGT,500000,,02/28/2021,KENTUCKY,A,,,https://youtu.be/V85X2vOJm2Q,20.4,https://www.youtube.com/watch?v=CtcjhyBvUl4
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,48,CH,C,BREAKING LUCKY,LEROIANA,LEROIDESANIMAUX (BRZ),NAVAS EQUINE,OUT,0,,05/29/2021,ARKANSAS,I,,,,,
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,49,DKB,F,CLASSIC EMPIRE,LIFE STARTS,INTO MISCHIEF,WES CARTER AGENT FOR CROSSED SABRES FARM,NOT SOLD,48000,,01/20/2021,KENTUCKY,J&K,,,,11,https://www.youtube.com/watch?v=0todSyJ3L6A
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,50,DKB,C,OUTWORK,LITTLE MARYRUTH,BADGE OF SILVER,NAVAS EQUINE,GARY CONTESSA AGENT,21000,,02/07/2021,KENTUCKY,I,,,,10.2,https://www.youtube.com/watch?v=v3-IwwymCEQ
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,51,CH,C,MITOLE,LIZA TOO,OLMODAVOR,TOM MCCROCKLIN AGENT,OUT,0,,02/13/2021,KENTUCKY,I,,,,,
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,52,B,F,MUNNINGS,MAGNETTES,MINESHAFT,CARY FROMMER LLC AGENT,NOT SOLD,45000,,04/28/2021,KENTUCKY,B,,,https://vimeo.com/839377293?share=copy,10.2,https://www.youtube.com/watch?v=nGDwDsYMoCI
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,53,GRR,C,SUMMER FRONT,MAJORELLE,MIZZEN MAST,WES CARTER AGENT FOR HOLLY HILL TRAINING CENTER,NOT SOLD,19000,,03/30/2021,KENTUCKY,J&K,,,,10.4,https://www.youtube.com/watch?v=vQypaGOMkZc
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,54,CH,F,SPEIGHTSTER,MAJOR THREAT,COLONEL JOHN,R. MARIE FARMS LLC,NOT SOLD,9000,,04/19/2021,NEW YORK,B,,,https://vimeo.com/839863975,10.3,https://www.youtube.com/watch?v=0q8SMzqKslk
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,55,CH,F,FORCE THE PASS,MISS GOLDEN FREUD,FREUD,WES CARTER AGENT FOR LEMON CREEK FARM,NOT SOLD,10000,,04/13/2021,MARYLAND,J&K,,,,10.4,https://www.youtube.com/watch?v=cwtsdmDQmKQ
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,56,B,F,PRACTICAL JOKE,MONKAH,DISTORTED HUMOR,WES CARTER AGENT FOR CROSSED SABRES FARM,SAB STABLE,50000,,02/04/2021,KENTUCKY,J&K,,,,10,https://www.youtube.com/watch?v=Tpfa4tzkaII
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,57,GRR,F,MASTERY,NO PICNIC,INCLUDE,R. MARIE FARMS LLC,HELEN MARSHALL,27000,,05/05/2021,MARYLAND,B,,,https://vimeo.com/839865332,10.3,https://www.youtube.com/watch?v=ta45C_EeDvc
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,58,DKB,C,MO TOWN,NO VACANCY,QUALITY ROAD,TOM MCCROCKLIN AGENT,DONALD K STRICKLAND,75000,,04/08/2021,KENTUCKY,I,,,,10.3,https://www.youtube.com/watch?v=i795oQ9lp-8
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,59,DKB,C,BLAME,OLEANDA AVENUE,A.P. INDY,NAVAS EQUINE AGENT,OUT,0,,02/10/2021,KENTUCKY,I,,,,,
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,60,B,G,GATTOPARDO,OUR MISS BOP,BOP,R. MARIE FARMS LLC AGENT,MICHAEL SCHMIDT,31000,,04/10/2021,MARYLAND,B,,,https://vimeo.com/839867245,10.1,https://www.youtube.com/watch?v=JCX6j7qzAn8
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,61,GRR,G,BOURBON COURAGE,PINK TIGHTS,LET GOODTIMES ROLL,WES CARTER AGENT FOR LEMON CREEK FARM,KATHLEEN WILLIER,25000,,04/01/2021,MARYLAND,J&K,,,,11,https://www.youtube.com/watch?v=NJGaB4QggWY
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,62,CH,C,FRANK CONVERSATION,PLENTY FAST,DEFRERE,JAMES LAYDEN AGENT,CHAD SUMMERS AGENT,13000,,03/10/2021,NEW YORK,C,,,,10.2,https://www.youtube.com/watch?v=l2q0t-1rKc4
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,63,DKB,C,DEMARCHELIER (GB),PREHISTORY,PALACE MALICE,ALL DREAMS EQUINE AGENT,OUT,0,,03/05/2021,KENTUCKY,I,,,,,
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,64,CH,F,GOOD MAGIC,RICKETYRACKETYRUSS,BORREGO,KINGS EQUINE AGENT,SERGIO GOMEZ,30000,,02/10/2021,KENTUCKY,J,,,https://youtu.be/QvaybKS4ZVk,10.2,https://www.youtube.com/watch?v=5RG_39Mi-Ig
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,65,CH,C,GOOD SAMARITAN,RISK CONTROL,GIANT'S CAUSEWAY,ALL DREAMS EQUINE AGENT,RICARDO ALVAREZ,7000,,02/13/2021,KENTUCKY,I,,,,10.3,https://www.youtube.com/watch?v=A1YtfXrOoms
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,66,GRR,F,MORE THAN READY,ROCKADELIC,BERNARDINI,KINGS EQUINE AGENT,JOHN C KIMMEL AGENT,35000,,03/05/2021,KENTUCKY,J,,,https://youtu.be/Yq66LAEpwXU,10.1,https://www.youtube.com/watch?v=s8_QqDATs4c
