SALE TITLE,SESSION,HIP,COLOR,NAME,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Gulfstream Sale (2020),,59,B,,C,GHOSTZAPPER,ROBERTA TURNER,SMART STRIKE,SEQUEL BLOODSTOCK AGENT,,,,03/30/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,60,CH,,C,GHOSTZAPPER,RODE WARRIOR,QUALITY ROAD,CARY FROMMER AGENT,,,,04/30/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,61,DKB,,C,PIONEEROF THE NILE,ROSE TO GOLD,FRIENDS LAKE,EDDIE WOODS AGENT XVIII,,,,05/09/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,62,GRR,,C,TIZNOW,RUNAWAY IN LOVE,RUNAWAY GROOM,CARY FROMMER AGENT,,,,03/04/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,63,B,,C,CALIFORNIA CHROME,SACRED FOREST,FORESTRY,KIRKWOOD STABLES AGENT I,,,,02/24/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,64,B,,C,EMPIRE MAKER,SASSIFACTION,SMART STRIKE,RANDY BRADSHAW AGENT I,,,,05/16/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,65,GRR,,C,LIAM'S MAP,SASSY SADIE,MALIBU MOON,SBM TRAINING & SALES LLC AGENT,,,,02/06/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,66,B,,F,UNION RAGS,SEA OF LAUGHTER,DISTORTED HUMOR,CRANE THOROUGHBRED SERVICES AGENT,,,,04/15/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,67,CH,,C,CARPE DIEM,SEEKING ADEL,SEEKING THE GOLD,TOM MCCROCKLIN AGENT II,,,,02/20/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,68,B,,C,OUTWORK,SEMILLON,ESKENDEREYA,RICHARDSON BLOODSTOCK AGENT,,,,04/04/2018,LOUISIANA,,,,
The Gulfstream Sale (2020),,69,B,,C,FLATTER,SHANANIES SONG,ELTISH,TOM MCCROCKLIN AGENT III,,,,02/10/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,70,B,,F,DISTORTED HUMOR,SHE'LL BE RIGHT,SKY MESA,NIALL BRENNAN STABLES AGENT IV,,,,03/18/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,71,DKB,,F,EMPIRE MAKER,SHE'S ON PARADE,FUSAICHI PEGASUS,TOM MCCROCKLIN AGENT II,,,,03/16/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,72,B,,F,NOT THIS TIME,SHEZA SMOKE SHOW,WILKO,TOP LINE SALES LLC AGENT IV,,,,02/09/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,73,CH,,C,SQUARE EDDIE,SILAR RULES,TEN MOST WANTED,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT IX,,,,03/18/2018,CALIFORNIA,,,,
The Gulfstream Sale (2020),,74,CH,,F,KANTHAROS,SILVER HUSTLER,POLITICAL FORCE,WHITE LILAC AGENT,,,,03/13/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,75,B,,C,CANDY RIDE (ARG),SKY HAVEN,SKY MESA,EDDIE WOODS AGENT LXVI,,,,04/08/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,76,DKB,,C,EMPIRE MAKER,SMART FARMING,SMART STRIKE,RANDY BRADSHAW AGENT,,,,02/17/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,77,B,,C,QUALITY ROAD,SMART 'N SPECIAL,SMART STRIKE,EDDIE WOODS AGENT XX,,,,03/27/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,78,CH,,C,NOT THIS TIME,SOHO STAR,POSSE,HOBY & LAYNA KIGHT AGENT,,,,03/30/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,79,B,,F,OUTWORK,SOLVED,ELUSIVE QUALITY,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,,,,03/17/2018,FLORIDA,,,,
The Gulfstream Sale (2020),,80,CH,,C,AMERICAN PHAROAH,SOMALIA,MINESHAFT,SCANLON TRAINING & SALES AGENT FOR EXCEL BLOODSTOCK (BRUNO DEBERDT),,,,01/24/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,81,B,,F,AMERICAN PHAROAH,SPECIAL ONE,POINT GIVEN,TOP LINE SALES LLC AGENT II,,,,03/05/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,82,B,,C,MALIBU MOON,SPRING BLOOM,AFTER MARKET,MCKATHAN BROS. SALES AGENT,,,,02/10/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,83,B,,C,CONSTITUTION,STARLICIOUS,CAPE TOWN,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,,,,05/09/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,84,B,,F,TIZNOW,STARSHIP ELUSIVE,ELUSIVE QUALITY,CARY FROMMER AGENT,,,,01/20/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,85,DKB,,F,OUTWORK,STARSHIP WARPSPEED,CONGRATS,PAUL SHARP AGENT II,,,,03/07/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,86,DKB,,C,RUNHAPPY,STRANGE ROMANCE,MR. GREELEY,PICK VIEW LLC AGENT,,,,04/22/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,87,B,,C,DIALED IN,STREET STRUT,STREET CRY (IRE),EDDIE WOODS AGENT XVI,,,,04/24/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,88,DKB,,C,RUNHAPPY,SUMMER CRUISE,VICAR,HIDDEN BROOK AGENT III,,,,03/26/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,89,B,,C,VANCOUVER (AUS),TELA,SMART STRIKE,KIRKWOOD STABLES AGENT I,,,,04/13/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,90,B,,C,EMPIRE MAKER,TEMPUS FUGIT,ALPHABET SOUP,TOP LINE SALES LLC AGENT VI,,,,04/11/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,91,GRR,,C,CONGRATS,THE BEST OPTION,PLEASANT TAP,SBM TRAINING & SALES LLC AGENT,,,,02/06/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,92,GRR,SILVER BANSHEE,F,DISTORTED HUMOR,THEDEVIL WEARSNADA,UNCLE MO,SBM TRAINING & SALES LLC AGENT,,,,04/22/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,93,DKB,,C,DISTORTED HUMOR,TIZACITY,TIZWAY,MCKATHAN BROS. SALES AGENT,,,,04/30/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,94,B,,F,UNCLE MO,TOGETHER (IRE),GALILEO (IRE),SBM TRAINING & SALES LLC AGENT,,,,04/25/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,95,B,,C,LEMON DROP KID,TOTAL WAR,WAR PASS,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT,,,,04/05/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,96,GRR,,C,FROSTED,IF NOT FOR HER,NOT FOR LOVE,CARY FROMMER AGENT,,,,03/03/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,97,B,,C,TAPITURE,TRISHA,FOREST CAMP,RICHARDSON BLOODSTOCK AGENT,,,,02/20/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,98,B,,C,RUNHAPPY,TRUE KISS,IS IT TRUE,SBM TRAINING & SALES LLC AGENT,,,,04/02/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,99,B,,C,QUALITY ROAD,UNION CITY,DIXIE UNION,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,,,,05/08/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,100,GRR,,C,ANCHOR DOWN,UNSPOKEN DESIRE,ALPHABET SOUP,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT II,,,,03/29/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,101,B,,C,INTO MISCHIEF,URLOVEISASYMPHONY,FOREST WILDCAT,SCANLON TRAINING & SALES AGENT FOR EXCEL BLOODSTOCK (BRUNO DEBERDT),,,,04/03/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,102,B,,C,CANDY RIDE (ARG),VANQUISHED,EMPIRE MAKER,TOP LINE SALES LLC AGENT III,,,,02/18/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,103,GRR,,C,EMPIRE MAKER,WINTER WONDERLAND,TAPIT,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT II,,,,04/19/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,104,GRR,,C,TAPIT,WITH INTENTION,MR. GREELEY,CRANE THOROUGHBRED SERVICES AGENT,,,,05/11/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,105,DKB,,F,WAR FRONT,YAHILWA,MEDAGLIA D'ORO,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XV,,,,01/23/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,106,CH,,C,NYQUIST,YANQUEE REIGN,YANKEE VICTOR,BOBBY DODD AGENT,,,,03/08/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,107,DKB,,F,FROSTED,YAWKEY WAY,GRAND SLAM,HARTLEY/DE RENZO THOROUGHBREDS AGENT,,,,04/05/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,108,DKB,,F,EXAGGERATOR,YOLIE'S CHOICE,SILVER DEPUTY,SBM TRAINING & SALES LLC AGENT,,,,05/09/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,109,GRR,,C,TAPIT,ZARDANA (BRZ),CRIMSON TIDE (IRE),Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,,,,04/28/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,110,B,,C,INTO MISCHIEF,AGAIN,UNBRIDLED'S SONG,DE MERIC SALES AGENT,,,,02/18/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,111,DKB,,C,NYQUIST,ALL DUE RESPECT,VALUE PLUS,TOM MCCROCKLIN AGENT II,,,,01/31/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,112,GRR,,F,FROSTED,ALL IN WITH ACES,QUIET AMERICAN,DE MERIC SALES AGENT,,,,05/12/2018,KENTUCKY,,,,
