SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Gulfstream Sale (2019),3/27/19,49,DKB,C,COMPETITIVE EDGE,HASHTAGSID,SCAT DADDY,RICHARDSON BLOODSTOCK AGENT,OUT,0,,4/5/17,KENTUCKY,23,,,,10.3,https://www.youtube.com/watch?v=d4T3VmfkqO0
The Gulfstream Sale (2019),3/27/19,50,B,F,WAR FRONT,HOMESTEADING,UNBRIDLED'S SONG,HARTLEY/DE RENZO THOROUGHBREDS AGENT,OUT,0,,5/5/17,KENTUCKY,23,,,,10.3,https://www.youtube.com/watch?v=0jZaLWTHdGI
The Gulfstream Sale (2019),3/27/19,51,DKB,F,BAYERN,HOT ROOTS,INDIAN CHARLIE,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,JAMIE MCCALMONT AGENT FOR M.V. MAGNIER,500000,,2/21/17,KENTUCKY,23,,,,10.1,https://www.youtube.com/watch?v=QaD16FXTIe0
The Gulfstream Sale (2019),3/27/19,52,B,F,BODEMEISTER,HOT WATER,MEDAGLIA D'ORO,SBM TRAINING & SALES LLC AGENT,OUT,0,,2/26/17,KENTUCKY,23,,,,,
The Gulfstream Sale (2019),3/27/19,53,DKB,F,FIRST SAMURAI,HULA SKIRT,DIXIE UNION,SBM TRAINING & SALES LLC AGENT,OUT,0,,3/25/17,KENTUCKY,23,,,,10.1,https://www.youtube.com/watch?v=Eh4KNt-kPL4
The Gulfstream Sale (2019),3/27/19,54,B,C,INTO MISCHIEF,INDIAN GRACEY,INDIAN OCEAN,MCKATHAN BROS. AGENT,OUT,0,,5/2/17,KENTUCKY,23,,,,,
The Gulfstream Sale (2019),3/27/19,55,GRR,C,LIAM'S MAP,INDIAN SNOW,A.P. INDY,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,OUT,0,,3/2/17,KENTUCKY,23,,,,10.3,https://www.youtube.com/watch?v=FuT2E-TLZ3E
The Gulfstream Sale (2019),3/27/19,56,CH,C,MUNNINGS,ISLAND LOVE SONG,DEHERE,SCANLON TRAINING & SALES AGENT I,OUT,0,,4/11/17,KENTUCKY,23,,,http://www.thorostride.com/sales/fasig-tipton-florida-2019-hip-56,,
The Gulfstream Sale (2019),3/27/19,57,CH,C,SUPER SAVER,ITSABEAUTIFULTHING,HENNY HUGHES,RANDY BRADSHAW AGENT,OUT,0,,2/15/17,KENTUCKY,26,,,,10.4,https://www.youtube.com/watch?v=RTkC_QG5hwk
The Gulfstream Sale (2019),3/27/19,58,B,C,CITY ZIP,IT TIZ,TIZNOW,NIALL BRENNAN STABLES AGENT III,SPEEDWAY STABLE,425000,,5/5/17,KENTUCKY,23,,,,10.2,https://www.youtube.com/watch?v=9MU9hAzba9c
The Gulfstream Sale (2019),3/27/19,59,B,C,UNCLE MO,IVANA BEAT YABAD,MORE THAN READY,DE MERIC SALES AGENT,OUT,0,,2/26/17,FLORIDA,23,,,,,
The Gulfstream Sale (2019),3/27/19,60,DKB,C,AMERICAN PHAROAH,JEWELIANA,SMART STRIKE,TOP LINE SALES LLC AGENT I,KATSUMI YOSHIDA,775000,,4/6/17,KENTUCKY,23,,,,10,https://www.youtube.com/watch?v=DlFyQTnjsKc
The Gulfstream Sale (2019),3/27/19,61,B,C,BERNARDINI,JOANIE'S CATCH,FIRST TOUR,CRUPI'S NEW CASTLE FARM AGENT,OUT,0,,2/16/17,KENTUCKY,23,,,,10.4,https://www.youtube.com/watch?v=7qgXVd-Czj0
The Gulfstream Sale (2019),3/27/19,62,DKB,C,WAR FRONT,HOMEBOUND,DIXIE UNION,HARTLEY/DE RENZO THOROUGHBREDS AGENT,OUT,0,,2/21/17,KENTUCKY,23,,,,,
The Gulfstream Sale (2019),3/27/19,63,B,C,BAYERN,JOOMA,EMPIRE MAKER,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP LLC,PATRICE MILLER EQB INC. AGT,100000,,2/28/17,KENTUCKY,25,,,,G,https://www.youtube.com/watch?v=QfjfT_LznZ4
The Gulfstream Sale (2019),3/27/19,64,B,C,TIZNOW,JUANITA,MINESHAFT,RANDY BRADSHAW AGENT,NOT SOLD,205000,,1/24/17,KENTUCKY,26,,,,10.4,https://www.youtube.com/watch?v=NrwdjP8SS40
