SALE TITLE,SESSION,HIP,COLOR,NAME,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2019),2019-05-20,28,DKB,,F,SHAKIN IT UP,APPEALING JEWEL,SAINT BALLADO,MARSHALL W. SILVERMAN AGENT,NOT SOLD,27000,,03/11/2017,KENTUCKY,E,,,,10.4,https://www.youtube.com/watch?v=8SIj7dmAgTM
Midlantic Two-Year-Olds in Training (2019),2019-05-20,29,B,OVERTON,C,MACLEAN'S MUSIC,APRIL,CAPSIZED,JAMES LAYDEN AGENT,WINDYLEA FARM LLC,30000,,02/25/2017,NEW YORK,D,,,,10.3,https://www.youtube.com/watch?v=iEH5OO0TPAw
Midlantic Two-Year-Olds in Training (2019),2019-05-20,30,DKB,,F,BAYERN,ARCING,ARCH,EDDIE WOODS AGENT XXXVII,OUT,0,,04/11/2017,KENTUCKY,J-K,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,31,CH,,F,COMPETITIVE EDGE,ASK ME ANYTHING,EL CORREDOR,ALL IN SALES AGENT,RICHARD MALOUF,37000,,05/03/2017,PENNSYLVANIA,K,,,,10.4,https://www.youtube.com/watch?v=plVyyUjwyLY
Midlantic Two-Year-Olds in Training (2019),2019-05-20,32,B,,C,TAPIT,ASSATEAGUE,STORMY ATLANTIC,EDDIE WOODS AGENT XXV,KERRY GOLD AGENT,35000,,03/19/2017,KENTUCKY,J-K,,,,10.4,https://www.youtube.com/watch?v=By95hJvosHo
Midlantic Two-Year-Olds in Training (2019),2019-05-20,33,B,,C,BLAME,AUTUMN ASH,TAPIT,WES CARTER AGENT I,CHARLES J ZACNEY/CASH IS KING,85000,,05/11/2017,KENTUCKY,F-G,,,,22.2,https://www.youtube.com/watch?v=fyOpmeeSTPc
Midlantic Two-Year-Olds in Training (2019),2019-05-20,34,B,,F,BAYERN,BABY BIRD,CAPE TOWN,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT,MEAH/LLOYD BLOODSTOCK LLC AGENT FOR TIM GOODWIN,75000,,04/17/2017,KENTUCKY,T,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yos-2019-hip-34,10.3,https://www.youtube.com/watch?v=SRHGDeHo5dQ
Midlantic Two-Year-Olds in Training (2019),2019-05-20,35,B,,F,DAREDEVIL,BACK WITH A HAZAM,PUT IT BACK,MCKATHAN BROS. AGENT,OUT,0,,05/03/2017,KENTUCKY,J,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,36,DKB,,C,TWIRLING CANDY,BEAT TO QUARTERS,WAR FRONT,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT,S.R.O.A. (K.O.I.D.),40000,,03/04/2017,KENTUCKY,T,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yos-2019-hip-36,10.4,https://www.youtube.com/watch?v=uUUqIxvmgdg
Midlantic Two-Year-Olds in Training (2019),2019-05-20,37,B,,F,JUSTIN PHILLIP,BEAUTIFULBALLERINA,NUREYEV,ALL DREAMS EQUINE AGENT,NOT SOLD,20000,,03/07/2017,KENTUCKY,H,,,,10.4,https://www.youtube.com/watch?v=7PFkWJSGPLU
Midlantic Two-Year-Olds in Training (2019),2019-05-20,38,B,,C,SKY KINGDOM,BEAUTY'S DUE,DEVIL HIS DUE,GOLDEN ROCK AGENT,RICHARD P SILLAMAN AGENT,50000,,05/09/2017,NEW YORK,G,,,,10.2,https://www.youtube.com/watch?v=y5FrHQ_Sk7A
Midlantic Two-Year-Olds in Training (2019),2019-05-20,39,B,,F,CENTRAL BANKER,BEE IN A BONNET,PRECISE END,HIDDEN BROOK AGENT VI,OUT,0,,03/23/2017,NEW YORK,K,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,40,DKB,,C,FREUD,BELLA'S FLAIR,BELLAMY ROAD,BOBBY DODD AGENT,CALUMET FARM,90000,,03/18/2017,NEW YORK,E-F,,,,10.4,https://www.youtube.com/watch?v=u7_EEvUwIrM
Midlantic Two-Year-Olds in Training (2019),2019-05-20,41,B,,F,COMPETITIVE EDGE,BELVEDERA,AWESOME AGAIN,SBM TRAINING & SALES LLC AGENT,NOT SOLD,95000,,03/23/2017,KENTUCKY,K-L,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yos-2019-hip-41,10.3,https://www.youtube.com/watch?v=GDzDYW73BVo
Midlantic Two-Year-Olds in Training (2019),2019-05-20,42,B,,F,QUALITY ROAD,BERN LEGACY,BERNSTEIN,BOBBY DODD AGENT,ERJ RACING & DENNIS O'NEILL,140000,Y,03/15/2017,KENTUCKY,E-F,,,,10.3,https://www.youtube.com/watch?v=sVqV2ZJVaRU
Midlantic Two-Year-Olds in Training (2019),2019-05-20,43,CH,,C,CARPE DIEM,BE SMART,SMARTY JONES,JAMES LAYDEN AGENT,OUT,0,,05/15/2017,KENTUCKY,D,,,,11,https://www.youtube.com/watch?v=YTF44GQ0cH8
Midlantic Two-Year-Olds in Training (2019),2019-05-20,44,DKB,,F,GEMOLOGIST,BESPOKE,SONGANDAPRAYER,JULIE DAVIES LLC AGENT,BRUCE BROWN AGENT,27000,,03/31/2017,NEW YORK,C-D,,,,10.2,https://www.youtube.com/watch?v=GiV16vVh5cA
Midlantic Two-Year-Olds in Training (2019),2019-05-20,45,DKB,,F,MALIBU MOON,BEST PRESENT EVER,UNUSUAL HEAT,JULIE DAVIES LLC AGENT,W.S. REIGHTLER AGENT FOR JIM COURTNEY,31000,,05/16/2017,MARYLAND,C-D,,,,10.2,https://www.youtube.com/watch?v=ENqB-USh9-E
Midlantic Two-Year-Olds in Training (2019),2019-05-20,46,CH,,C,ORB,BLACK ESCORT,SOUTHERN HALO,WHITE PINE THOROUGHBREDS AGENT,S.R.O.A. (K.O.I.D.),40000,,04/21/2017,NEW YORK,T,,,,10.4,https://www.youtube.com/watch?v=rU641Lkn5Kk
Midlantic Two-Year-Olds in Training (2019),2019-05-20,47,DKB,,C,JUMP START,BLAZEAWAY,PROUD CITIZEN,GRASSROOTS TRAINING & SALES LLC AGENT,ZILLA RACING ORACLE BLSK AGT,75000,,04/16/2017,VIRGINIA,I,,,,10.3,https://www.youtube.com/watch?v=J9153hYYU7k
Midlantic Two-Year-Olds in Training (2019),2019-05-20,48,DKB,,F,DAREDEVIL,BLINK,CITY ZIP,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,JUAN CARLOS PEREZ HERNANDEZ,8000,,01/21/2017,FLORIDA,H,,,,10.4,https://www.youtube.com/watch?v=FID6u-9tkL0
Midlantic Two-Year-Olds in Training (2019),2019-05-20,49,GRR,,C,GOLDENCENTS,BLUE ANGEL EXPRESS,MARCIANO,MCKATHAN BROS. AGENT,NOT SOLD,60000,,04/22/2017,FLORIDA,J,,,,10.3,https://www.youtube.com/watch?v=bXd9aYdbf4g
Midlantic Two-Year-Olds in Training (2019),2019-05-20,50,DKB,,C,HAMPTON COURT (AUS),BLUEBERRY SMOOTHIE,GIANT'S CAUSEWAY,KINGS EQUINE AGENT FOR SPENDTHRIFT FARM LLC,OUT,0,,03/14/2017,KENTUCKY,T,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,51,GRR,,C,CAIRO PRINCE,BON CARO,BON POINT (GB),HEMINGWAY RACING AND TRAINING STABLES AGENT,OUT,0,,04/12/2017,FLORIDA,J,,,,11.1,https://www.youtube.com/watch?v=rpZ-ae80auw
Midlantic Two-Year-Olds in Training (2019),2019-05-20,52,B,,F,AMERICAN PHAROAH,BONNIE BLUE FLAG,MINESHAFT,HOBY & LAYNA KIGHT AGENT,JOHN C KIMMEL AGENT FOR THIRTY YEAR FARM,150000,,04/13/2017,KENTUCKY,A,,,,23,https://www.youtube.com/watch?v=U8cHfiv9_V4
Midlantic Two-Year-Olds in Training (2019),2019-05-20,53,B,,C,BAYERN,BOOT SCOOT N RUN,STORM BOOT,HIDDEN BROOK AGENT I,OUT,0,,05/02/2017,KENTUCKY,K,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,54,DKB,,F,PALACE,BOUNTY PINK,SPEIGHTSTOWN,HOPPEL'S HORSE & CATTLE CO. INC.,TRIN-BROOK STABLE,20000,,04/22/2017,NEW YORK,L,,,,22.2,https://www.youtube.com/watch?v=qON4GfjsJKo
Midlantic Two-Year-Olds in Training (2019),2019-05-20,55,DKB,SUMMER KISS,F,SUMMER FRONT,BOURBON AND A KISS,SKY MESA,GOLDEN ROCK AGENT,RACING MEADOWS FARM,35000,,03/27/2017,KENTUCKY,G,,,,10.3,https://www.youtube.com/watch?v=Ma9B3zxWBDc
Midlantic Two-Year-Olds in Training (2019),2019-05-20,56,CH,,F,SPEIGHTSTOWN,BOURBONSTREETGIRL,LANGFUHR,DE MERIC SALES AGENT,LOTHENBACH STABLES INC,135000,,04/10/2017,NEW YORK,I-J,,,,10.2,https://www.youtube.com/watch?v=DlrK6ZJIn6s
Midlantic Two-Year-Olds in Training (2019),2019-05-20,57,DKB,,C,I WANT REVENGE,BRAMLEY,DYNAFORMER,STEPHENS THOROUGHBREDS LLC AGENT,RANDI PERSAUD,11000,,03/09/2017,KENTUCKY,I,,,,23.4,https://www.youtube.com/watch?v=ou3z2Ir7iNY
Midlantic Two-Year-Olds in Training (2019),2019-05-20,58,B,,F,STREET SENSE,BREAKING PROMISES,BROKEN VOW,EDDIE WOODS AGENT IX,LOTHENBACH STABLES INC,150000,,04/03/2017,KENTUCKY,J-K,,,,10.2,https://www.youtube.com/watch?v=LrS7MP5xAFA
Midlantic Two-Year-Olds in Training (2019),2019-05-20,59,GRR,,F,CROSS TRAFFIC,BRIECAT,ADCAT,TOM MCCROCKLIN AGENT,JKC STABLE,14000,,03/18/2017,KENTUCKY,K,,,,11,https://www.youtube.com/watch?v=iAKraVztXks
Midlantic Two-Year-Olds in Training (2019),2019-05-20,60,B,,F,COMPETITIVE EDGE,BRILLIANT AUTUMN,YES IT'S TRUE,HIDDEN BROOK AGENT II,NOT SOLD,72000,,03/10/2017,KENTUCKY,K,,,,10.3,https://www.youtube.com/watch?v=Cyct0Zlw4AM
Midlantic Two-Year-Olds in Training (2019),2019-05-20,61,B,,C,GEMOLOGIST,BUCK TROUT'S NIECE,WAQUOIT,C & C STABLES LLC AGENT,NOT SOLD,35000,,03/11/2017,PENNSYLVANIA,J,,,,11,https://www.youtube.com/watch?v=orX0TldZn8w
Midlantic Two-Year-Olds in Training (2019),2019-05-20,62,CH,,C,NORMANDY INVASION,BUSTINATTHESEAMS,BUSTIN STONES,NIALL BRENNAN STABLES LLC AGENT I,LINDA RICE AGENT,45000,,03/28/2017,NEW YORK,J,,,,10.4,https://www.youtube.com/watch?v=zNsgFtX9Ib4
Midlantic Two-Year-Olds in Training (2019),2019-05-20,63,B,BOLT AWAY,C,MUNNINGS,CABALES,PULPIT,BOBBY DODD AGENT,OUT,0,,04/24/2017,KENTUCKY,E-F,,,,10.4,https://www.youtube.com/watch?v=LjxzakN7KtM
Midlantic Two-Year-Olds in Training (2019),2019-05-20,64,B,,C,WAR FRONT,CALLBACK,STREET SENSE,HOBY & LAYNA KIGHT AGENT,OUT,0,,02/03/2017,KENTUCKY,A,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,65,GRR,INDIAN CROSS,C,CROSS TRAFFIC,CAMPSITE,INDIAN CHARLIE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT,WINCHELL THOROUGHBREDS LLC,95000,,04/28/2017,KENTUCKY,T,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yos-2019-hip-65,22.4,https://www.youtube.com/watch?v=bi6gERyI7bA
Midlantic Two-Year-Olds in Training (2019),2019-05-20,66,DKB,,F,DIALED IN,CAPILLA BONITA,PLEASANT COLONY,MEDALLION FARMS AGENT,OUT,0,,03/15/2017,KENTUCKY,K,,,,11,https://www.youtube.com/watch?v=cTg4wZtbJRo
Midlantic Two-Year-Olds in Training (2019),2019-05-20,67,B,,F,GHOSTZAPPER,CAPITULATION,DISTORTED HUMOR,EDDIE WOODS AGENT XXXI,OUT,0,,02/05/2017,KENTUCKY,J-K,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,68,B,,C,WEIGELIA,CAPTAIN'S WINDROSE,CAPTAIN BODGIT,GRASSROOTS TRAINING & SALES LLC,ANTHONY J FONTANA,20000,,02/14/2017,PENNSYLVANIA,I,,,,10.3,https://www.youtube.com/watch?v=R07t9kKRars
Midlantic Two-Year-Olds in Training (2019),2019-05-20,69,GRR,,F,SKY MESA,CASEY'S DREAMIN',UNBRIDLED'S SONG,HIDDEN BROOK AGENT V,TRACY FARMER,70000,,03/08/2017,ONTARIO,K,,,,10.2,https://www.youtube.com/watch?v=EZ1Jjy1yGRk
Midlantic Two-Year-Olds in Training (2019),2019-05-20,70,B,SKIP THE SMALLTALK,C,JUMP START,CASUAL KISS,DEHERE,GRASSROOTS TRAINING & SALES LLC AGENT,THREE DIAMONDS FARM,55000,,04/26/2017,MARYLAND,I,,,,10.4,https://www.youtube.com/watch?v=7rUxDP7qmwM
Midlantic Two-Year-Olds in Training (2019),2019-05-20,71,CH,,F,MISSION IMPAZIBLE,CATALINA ISLAND,BELONG TO ME,GRASSROOTS TRAINING & SALES LLC,JUAN CARLOS PEREZ HERNANDEZ,20000,,05/15/2017,NEW YORK,I,,,,10.4,https://www.youtube.com/watch?v=huBNl5lnRyo
Midlantic Two-Year-Olds in Training (2019),2019-05-20,72,CH,,C,JIMMY CREED,CATALINA WAY,CONGAREE,CARY FROMMER LLC AGENT,NOT SOLD,42000,,05/13/2017,IOWA,A-B,,,,10.4,https://www.youtube.com/watch?v=ybv6VKsdyZs
Midlantic Two-Year-Olds in Training (2019),2019-05-20,73,B,,F,SEVILLE (GER),CAT BIRD,DANCE WITH RAVENS,WHITE PINE THOROUGHBREDS AGENT FOR WASABI VENTURES STABLES LLC,NOT SOLD,27000,,02/02/2017,MARYLAND,T,,,,11,https://www.youtube.com/watch?v=qTTKLzwfn7o
Midlantic Two-Year-Olds in Training (2019),2019-05-20,74,GRR,,C,CAIRO PRINCE,CENTENNIAL CAT,TALE OF THE CAT,BOBBY DODD AGENT,OUT,0,,01/30/2017,KENTUCKY,E-F,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,75,DKB,,C,MINESHAFT,CENTURIAN LADY,CAT THIEF,CRANE THOROUGHBRED SERVICES LLC AGENT,S.R.O.A. (K.O.I.D.),37000,,05/01/2017,KENTUCKY,D-E,,,,10.3,https://www.youtube.com/watch?v=E8eSmfo8RIM
Midlantic Two-Year-Olds in Training (2019),2019-05-20,76,DKB,,C,PIONEEROF THE NILE,CENTURY PARK,GENERAL MEETING,HEMINGWAY RACING AND TRAINING STABLES AGENT,LOTHENBACH STABLES INC,195000,,03/09/2017,FLORIDA,J,,,,10.2,https://www.youtube.com/watch?v=Eeb2u2znC9I
Midlantic Two-Year-Olds in Training (2019),2019-05-20,77,B,,F,GOLDENCENTS,CHAMPION RIDE,CANDY RIDE (ARG),GRASSROOTS TRAINING & SALES LLC,WASABI VENTURES STABLES,20000,,05/08/2017,KENTUCKY,I,,,,11,https://www.youtube.com/watch?v=OoMW_AUnlsU
Midlantic Two-Year-Olds in Training (2019),2019-05-20,78,CH,,F,MUCHO MACHO MAN,CHARLOTTE'S DI,EL CORREDOR,GRASSROOTS TRAINING & SALES LLC,NOT SOLD,19000,,03/22/2017,KENTUCKY,I,,,,10.4,https://www.youtube.com/watch?v=cCS9jMRe9bU
Midlantic Two-Year-Olds in Training (2019),2019-05-20,79,B,,C,BLAME,CHECK,UNBRIDLED,BOBBY DODD AGENT,OUT,0,,02/23/2017,KENTUCKY,E-F,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,80,DKB,,C,SHANGHAI BOBBY,CHEYENNE AUTUMN,INDIAN CHARLIE,SCANLON TRAINING & SALES AGENT VI,S.R.O.A. (K.O.I.D.),35000,,03/26/2017,KENTUCKY,T,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yos-2019-hip-80,10.4,https://www.youtube.com/watch?v=zIU0RcuLW50
Midlantic Two-Year-Olds in Training (2019),2019-05-20,81,B,CHEROKEE SONG,F,PIONEEROF THE NILE,CHICALELEE,CHEROKEE RUN,DE MERIC SALES AGENT,RANDI PERSAUD,22000,,04/05/2017,KENTUCKY,I-J,,,,11,https://www.youtube.com/watch?v=qiBMzbkfqHA
Midlantic Two-Year-Olds in Training (2019),2019-05-20,82,B,,C,VIOLENCE,CHIC SHANIQUE,DYNAFORMER,SCANLON TRAINING & SALES AGENT XVIII,SEAGULL CAPITAL LLC TIMOTHY HILLS AGENT,100000,,04/19/2017,KENTUCKY,T,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yos-2019-hip-82,10.2,https://www.youtube.com/watch?v=_S4JiEEcZE8
Midlantic Two-Year-Olds in Training (2019),2019-05-20,84,GRR,,C,THE FACTOR,CHILI CAT,STORM CAT,ENVISION EQUINE AGENT,RICHIE'S WORLD STABLES LLC,29000,,01/15/2017,KENTUCKY,E,,,,22.4,https://www.youtube.com/watch?v=_SCwQobshFc
Midlantic Two-Year-Olds in Training (2019),2019-05-20,85,DKB,,F,BERNARDINI,CHRISTMAS LASS,LEMON DROP KID,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT I,SPEEDWAY STABLE,335000,,05/08/2017,KENTUCKY,T,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yos-2019-hip-85,22.1,https://www.youtube.com/watch?v=OK3VWxe9X_E
Midlantic Two-Year-Olds in Training (2019),2019-05-20,86,CH,,F,SHACKLEFORD,CINCO EMAYO,BROKEN VOW,GRASSROOTS TRAINING & SALES LLC,ZACH MADDEN AGENT,60000,,04/17/2017,OHIO,I,,,,10.2,https://www.youtube.com/watch?v=Jwll44ZJSLk
Midlantic Two-Year-Olds in Training (2019),2019-05-20,87,CH,,F,CITY ZIP,CINNAMON LASS,CONDUIT (IRE),PAUL SHARP AGENT VIII,RON ELLIS AGENT,50000,,02/07/2017,KENTUCKY,G,,,,10.4,https://www.youtube.com/watch?v=Vm-y-SVl0u4
Midlantic Two-Year-Olds in Training (2019),2019-05-20,88,DKB,,F,COMMISSIONER,CITY ANGEL,CITY ZIP,JVC TRAINING & SALES (JORGE & MARIA VILLAGOMEZ),OUT,0,,04/06/2017,KENTUCKY,D,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,89,B,,F,UNCLE MO,CITY SISTER,CARSON CITY,PIKE RACING AGENT,NOT SOLD,120000,,04/30/2017,KENTUCKY,G,,,,10.3,https://www.youtube.com/watch?v=Azy3-RfRWMA
